,Minutes5UTC,Minutes5DK,PriceArea,CO2Emission
0,2023-01-01T22:55:00,2023-01-01T23:55:00,DK1,68.0
1,2023-01-01T22:55:00,2023-01-01T23:55:00,DK2,68.0
2,2023-01-01T22:50:00,2023-01-01T23:50:00,DK1,67.0
3,2023-01-01T22:50:00,2023-01-01T23:50:00,DK2,67.0
4,2023-01-01T22:45:00,2023-01-01T23:45:00,DK1,66.0
5,2023-01-01T22:45:00,2023-01-01T23:45:00,DK2,66.0
6,2023-01-01T22:40:00,2023-01-01T23:40:00,DK1,64.0
7,2023-01-01T22:40:00,2023-01-01T23:40:00,DK2,64.0
8,2023-01-01T22:35:00,2023-01-01T23:35:00,DK1,64.0
9,2023-01-01T22:35:00,2023-01-01T23:35:00,DK2,64.0
10,2023-01-01T22:30:00,2023-01-01T23:30:00,DK1,63.0
11,2023-01-01T22:30:00,2023-01-01T23:30:00,DK2,63.0
12,2023-01-01T22:25:00,2023-01-01T23:25:00,DK1,63.0
13,2023-01-01T22:25:00,2023-01-01T23:25:00,DK2,63.0
14,2023-01-01T22:20:00,2023-01-01T23:20:00,DK1,62.0
15,2023-01-01T22:20:00,2023-01-01T23:20:00,DK2,62.0
16,2023-01-01T22:15:00,2023-01-01T23:15:00,DK1,62.0
17,2023-01-01T22:15:00,2023-01-01T23:15:00,DK2,62.0
18,2023-01-01T22:10:00,2023-01-01T23:10:00,DK1,62.0
19,2023-01-01T22:10:00,2023-01-01T23:10:00,DK2,62.0
20,2023-01-01T22:05:00,2023-01-01T23:05:00,DK1,62.0
21,2023-01-01T22:05:00,2023-01-01T23:05:00,DK2,62.0
22,2023-01-01T22:00:00,2023-01-01T23:00:00,DK1,62.0
23,2023-01-01T22:00:00,2023-01-01T23:00:00,DK2,62.0
24,2023-01-01T21:55:00,2023-01-01T22:55:00,DK1,62.0
25,2023-01-01T21:55:00,2023-01-01T22:55:00,DK2,62.0
26,2023-01-01T21:50:00,2023-01-01T22:50:00,DK1,62.0
27,2023-01-01T21:50:00,2023-01-01T22:50:00,DK2,62.0
28,2023-01-01T21:45:00,2023-01-01T22:45:00,DK1,61.0
29,2023-01-01T21:45:00,2023-01-01T22:45:00,DK2,61.0
30,2023-01-01T21:40:00,2023-01-01T22:40:00,DK1,61.0
31,2023-01-01T21:40:00,2023-01-01T22:40:00,DK2,61.0
32,2023-01-01T21:35:00,2023-01-01T22:35:00,DK1,60.0
33,2023-01-01T21:35:00,2023-01-01T22:35:00,DK2,60.0
34,2023-01-01T21:30:00,2023-01-01T22:30:00,DK1,61.0
35,2023-01-01T21:30:00,2023-01-01T22:30:00,DK2,61.0
36,2023-01-01T21:25:00,2023-01-01T22:25:00,DK1,61.0
37,2023-01-01T21:25:00,2023-01-01T22:25:00,DK2,61.0
38,2023-01-01T21:20:00,2023-01-01T22:20:00,DK1,61.0
39,2023-01-01T21:20:00,2023-01-01T22:20:00,DK2,61.0
40,2023-01-01T21:15:00,2023-01-01T22:15:00,DK1,61.0
41,2023-01-01T21:15:00,2023-01-01T22:15:00,DK2,61.0
42,2023-01-01T21:10:00,2023-01-01T22:10:00,DK1,61.0
43,2023-01-01T21:10:00,2023-01-01T22:10:00,DK2,61.0
44,2023-01-01T21:05:00,2023-01-01T22:05:00,DK1,60.0
45,2023-01-01T21:05:00,2023-01-01T22:05:00,DK2,60.0
46,2023-01-01T21:00:00,2023-01-01T22:00:00,DK1,61.0
47,2023-01-01T21:00:00,2023-01-01T22:00:00,DK2,61.0
48,2023-01-01T20:55:00,2023-01-01T21:55:00,DK1,63.0
49,2023-01-01T20:55:00,2023-01-01T21:55:00,DK2,63.0
50,2023-01-01T20:50:00,2023-01-01T21:50:00,DK1,63.0
51,2023-01-01T20:50:00,2023-01-01T21:50:00,DK2,63.0
52,2023-01-01T20:45:00,2023-01-01T21:45:00,DK1,63.0
53,2023-01-01T20:45:00,2023-01-01T21:45:00,DK2,63.0
54,2023-01-01T20:40:00,2023-01-01T21:40:00,DK1,63.0
55,2023-01-01T20:40:00,2023-01-01T21:40:00,DK2,63.0
56,2023-01-01T20:35:00,2023-01-01T21:35:00,DK1,62.0
57,2023-01-01T20:35:00,2023-01-01T21:35:00,DK2,62.0
58,2023-01-01T20:30:00,2023-01-01T21:30:00,DK1,62.0
59,2023-01-01T20:30:00,2023-01-01T21:30:00,DK2,62.0
60,2023-01-01T20:25:00,2023-01-01T21:25:00,DK1,62.0
61,2023-01-01T20:25:00,2023-01-01T21:25:00,DK2,62.0
62,2023-01-01T20:20:00,2023-01-01T21:20:00,DK1,62.0
63,2023-01-01T20:20:00,2023-01-01T21:20:00,DK2,62.0
64,2023-01-01T20:15:00,2023-01-01T21:15:00,DK1,61.0
65,2023-01-01T20:15:00,2023-01-01T21:15:00,DK2,61.0
66,2023-01-01T20:10:00,2023-01-01T21:10:00,DK1,61.0
67,2023-01-01T20:10:00,2023-01-01T21:10:00,DK2,61.0
68,2023-01-01T20:05:00,2023-01-01T21:05:00,DK1,62.0
69,2023-01-01T20:05:00,2023-01-01T21:05:00,DK2,62.0
70,2023-01-01T20:00:00,2023-01-01T21:00:00,DK1,62.0
71,2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,62.0
72,2023-01-01T19:55:00,2023-01-01T20:55:00,DK1,63.0
73,2023-01-01T19:55:00,2023-01-01T20:55:00,DK2,63.0
74,2023-01-01T19:50:00,2023-01-01T20:50:00,DK1,63.0
75,2023-01-01T19:50:00,2023-01-01T20:50:00,DK2,63.0
76,2023-01-01T19:45:00,2023-01-01T20:45:00,DK1,63.0
77,2023-01-01T19:45:00,2023-01-01T20:45:00,DK2,63.0
78,2023-01-01T19:40:00,2023-01-01T20:40:00,DK1,62.0
79,2023-01-01T19:40:00,2023-01-01T20:40:00,DK2,62.0
80,2023-01-01T19:35:00,2023-01-01T20:35:00,DK1,62.0
81,2023-01-01T19:35:00,2023-01-01T20:35:00,DK2,62.0
82,2023-01-01T19:30:00,2023-01-01T20:30:00,DK1,61.0
83,2023-01-01T19:30:00,2023-01-01T20:30:00,DK2,61.0
84,2023-01-01T19:25:00,2023-01-01T20:25:00,DK1,61.0
85,2023-01-01T19:25:00,2023-01-01T20:25:00,DK2,61.0
86,2023-01-01T19:20:00,2023-01-01T20:20:00,DK1,61.0
87,2023-01-01T19:20:00,2023-01-01T20:20:00,DK2,61.0
88,2023-01-01T19:15:00,2023-01-01T20:15:00,DK1,61.0
89,2023-01-01T19:15:00,2023-01-01T20:15:00,DK2,61.0
90,2023-01-01T19:10:00,2023-01-01T20:10:00,DK1,61.0
91,2023-01-01T19:10:00,2023-01-01T20:10:00,DK2,61.0
92,2023-01-01T19:05:00,2023-01-01T20:05:00,DK1,60.0
93,2023-01-01T19:05:00,2023-01-01T20:05:00,DK2,60.0
94,2023-01-01T19:00:00,2023-01-01T20:00:00,DK1,60.0
95,2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,60.0
96,2023-01-01T18:55:00,2023-01-01T19:55:00,DK1,63.0
97,2023-01-01T18:55:00,2023-01-01T19:55:00,DK2,63.0
98,2023-01-01T18:50:00,2023-01-01T19:50:00,DK1,62.0
99,2023-01-01T18:50:00,2023-01-01T19:50:00,DK2,62.0
100,2023-01-01T18:45:00,2023-01-01T19:45:00,DK1,61.0
101,2023-01-01T18:45:00,2023-01-01T19:45:00,DK2,61.0
102,2023-01-01T18:40:00,2023-01-01T19:40:00,DK1,62.0
103,2023-01-01T18:40:00,2023-01-01T19:40:00,DK2,62.0
104,2023-01-01T18:35:00,2023-01-01T19:35:00,DK1,61.0
105,2023-01-01T18:35:00,2023-01-01T19:35:00,DK2,61.0
106,2023-01-01T18:30:00,2023-01-01T19:30:00,DK1,61.0
107,2023-01-01T18:30:00,2023-01-01T19:30:00,DK2,61.0
108,2023-01-01T18:25:00,2023-01-01T19:25:00,DK1,62.0
109,2023-01-01T18:25:00,2023-01-01T19:25:00,DK2,62.0
110,2023-01-01T18:20:00,2023-01-01T19:20:00,DK1,62.0
111,2023-01-01T18:20:00,2023-01-01T19:20:00,DK2,62.0
112,2023-01-01T18:15:00,2023-01-01T19:15:00,DK1,62.0
113,2023-01-01T18:15:00,2023-01-01T19:15:00,DK2,62.0
114,2023-01-01T18:10:00,2023-01-01T19:10:00,DK1,62.0
115,2023-01-01T18:10:00,2023-01-01T19:10:00,DK2,62.0
116,2023-01-01T18:05:00,2023-01-01T19:05:00,DK1,63.0
117,2023-01-01T18:05:00,2023-01-01T19:05:00,DK2,63.0
118,2023-01-01T18:00:00,2023-01-01T19:00:00,DK1,64.0
119,2023-01-01T18:00:00,2023-01-01T19:00:00,DK2,64.0
120,2023-01-01T17:55:00,2023-01-01T18:55:00,DK1,65.0
121,2023-01-01T17:55:00,2023-01-01T18:55:00,DK2,65.0
122,2023-01-01T17:50:00,2023-01-01T18:50:00,DK1,67.0
123,2023-01-01T17:50:00,2023-01-01T18:50:00,DK2,67.0
124,2023-01-01T17:45:00,2023-01-01T18:45:00,DK1,68.0
125,2023-01-01T17:45:00,2023-01-01T18:45:00,DK2,68.0
126,2023-01-01T17:40:00,2023-01-01T18:40:00,DK1,72.0
127,2023-01-01T17:40:00,2023-01-01T18:40:00,DK2,72.0
128,2023-01-01T17:35:00,2023-01-01T18:35:00,DK1,75.0
129,2023-01-01T17:35:00,2023-01-01T18:35:00,DK2,75.0
130,2023-01-01T17:30:00,2023-01-01T18:30:00,DK1,80.0
131,2023-01-01T17:30:00,2023-01-01T18:30:00,DK2,80.0
132,2023-01-01T17:25:00,2023-01-01T18:25:00,DK1,83.0
133,2023-01-01T17:25:00,2023-01-01T18:25:00,DK2,83.0
134,2023-01-01T17:20:00,2023-01-01T18:20:00,DK1,84.0
135,2023-01-01T17:20:00,2023-01-01T18:20:00,DK2,84.0
136,2023-01-01T17:15:00,2023-01-01T18:15:00,DK1,83.0
137,2023-01-01T17:15:00,2023-01-01T18:15:00,DK2,83.0
138,2023-01-01T17:10:00,2023-01-01T18:10:00,DK1,86.0
139,2023-01-01T17:10:00,2023-01-01T18:10:00,DK2,86.0
140,2023-01-01T17:05:00,2023-01-01T18:05:00,DK1,86.0
141,2023-01-01T17:05:00,2023-01-01T18:05:00,DK2,86.0
142,2023-01-01T17:00:00,2023-01-01T18:00:00,DK1,84.0
143,2023-01-01T17:00:00,2023-01-01T18:00:00,DK2,84.0
144,2023-01-01T16:55:00,2023-01-01T17:55:00,DK1,82.0
145,2023-01-01T16:55:00,2023-01-01T17:55:00,DK2,82.0
146,2023-01-01T16:50:00,2023-01-01T17:50:00,DK1,81.0
147,2023-01-01T16:50:00,2023-01-01T17:50:00,DK2,81.0
148,2023-01-01T16:45:00,2023-01-01T17:45:00,DK1,80.0
149,2023-01-01T16:45:00,2023-01-01T17:45:00,DK2,80.0
150,2023-01-01T16:40:00,2023-01-01T17:40:00,DK1,79.0
151,2023-01-01T16:40:00,2023-01-01T17:40:00,DK2,79.0
152,2023-01-01T16:35:00,2023-01-01T17:35:00,DK1,77.0
153,2023-01-01T16:35:00,2023-01-01T17:35:00,DK2,77.0
154,2023-01-01T16:30:00,2023-01-01T17:30:00,DK1,73.0
155,2023-01-01T16:30:00,2023-01-01T17:30:00,DK2,73.0
156,2023-01-01T16:25:00,2023-01-01T17:25:00,DK1,68.0
157,2023-01-01T16:25:00,2023-01-01T17:25:00,DK2,68.0
158,2023-01-01T16:20:00,2023-01-01T17:20:00,DK1,68.0
159,2023-01-01T16:20:00,2023-01-01T17:20:00,DK2,68.0
160,2023-01-01T16:15:00,2023-01-01T17:15:00,DK1,66.0
161,2023-01-01T16:15:00,2023-01-01T17:15:00,DK2,66.0
162,2023-01-01T16:10:00,2023-01-01T17:10:00,DK1,65.0
163,2023-01-01T16:10:00,2023-01-01T17:10:00,DK2,65.0
164,2023-01-01T16:05:00,2023-01-01T17:05:00,DK1,63.0
165,2023-01-01T16:05:00,2023-01-01T17:05:00,DK2,63.0
166,2023-01-01T16:00:00,2023-01-01T17:00:00,DK1,60.0
167,2023-01-01T16:00:00,2023-01-01T17:00:00,DK2,60.0
168,2023-01-01T15:55:00,2023-01-01T16:55:00,DK1,58.0
169,2023-01-01T15:55:00,2023-01-01T16:55:00,DK2,58.0
170,2023-01-01T15:50:00,2023-01-01T16:50:00,DK1,56.0
171,2023-01-01T15:50:00,2023-01-01T16:50:00,DK2,56.0
172,2023-01-01T15:45:00,2023-01-01T16:45:00,DK1,55.0
173,2023-01-01T15:45:00,2023-01-01T16:45:00,DK2,55.0
174,2023-01-01T15:40:00,2023-01-01T16:40:00,DK1,54.0
175,2023-01-01T15:40:00,2023-01-01T16:40:00,DK2,54.0
176,2023-01-01T15:35:00,2023-01-01T16:35:00,DK1,53.0
177,2023-01-01T15:35:00,2023-01-01T16:35:00,DK2,53.0
178,2023-01-01T15:30:00,2023-01-01T16:30:00,DK1,53.0
179,2023-01-01T15:30:00,2023-01-01T16:30:00,DK2,53.0
180,2023-01-01T15:25:00,2023-01-01T16:25:00,DK1,53.0
181,2023-01-01T15:25:00,2023-01-01T16:25:00,DK2,53.0
182,2023-01-01T15:20:00,2023-01-01T16:20:00,DK1,53.0
183,2023-01-01T15:20:00,2023-01-01T16:20:00,DK2,53.0
184,2023-01-01T15:15:00,2023-01-01T16:15:00,DK1,53.0
185,2023-01-01T15:15:00,2023-01-01T16:15:00,DK2,53.0
186,2023-01-01T15:10:00,2023-01-01T16:10:00,DK1,52.0
187,2023-01-01T15:10:00,2023-01-01T16:10:00,DK2,52.0
188,2023-01-01T15:05:00,2023-01-01T16:05:00,DK1,52.0
189,2023-01-01T15:05:00,2023-01-01T16:05:00,DK2,52.0
190,2023-01-01T15:00:00,2023-01-01T16:00:00,DK1,52.0
191,2023-01-01T15:00:00,2023-01-01T16:00:00,DK2,52.0
192,2023-01-01T14:55:00,2023-01-01T15:55:00,DK1,50.0
193,2023-01-01T14:55:00,2023-01-01T15:55:00,DK2,50.0
194,2023-01-01T14:50:00,2023-01-01T15:50:00,DK1,50.0
195,2023-01-01T14:50:00,2023-01-01T15:50:00,DK2,50.0
196,2023-01-01T14:45:00,2023-01-01T15:45:00,DK1,50.0
197,2023-01-01T14:45:00,2023-01-01T15:45:00,DK2,50.0
198,2023-01-01T14:40:00,2023-01-01T15:40:00,DK1,50.0
199,2023-01-01T14:40:00,2023-01-01T15:40:00,DK2,50.0
200,2023-01-01T14:35:00,2023-01-01T15:35:00,DK1,51.0
201,2023-01-01T14:35:00,2023-01-01T15:35:00,DK2,51.0
202,2023-01-01T14:30:00,2023-01-01T15:30:00,DK1,50.0
203,2023-01-01T14:30:00,2023-01-01T15:30:00,DK2,50.0
204,2023-01-01T14:25:00,2023-01-01T15:25:00,DK1,50.0
205,2023-01-01T14:25:00,2023-01-01T15:25:00,DK2,50.0
206,2023-01-01T14:20:00,2023-01-01T15:20:00,DK1,50.0
207,2023-01-01T14:20:00,2023-01-01T15:20:00,DK2,50.0
208,2023-01-01T14:15:00,2023-01-01T15:15:00,DK1,49.0
209,2023-01-01T14:15:00,2023-01-01T15:15:00,DK2,49.0
210,2023-01-01T14:10:00,2023-01-01T15:10:00,DK1,49.0
211,2023-01-01T14:10:00,2023-01-01T15:10:00,DK2,49.0
212,2023-01-01T14:05:00,2023-01-01T15:05:00,DK1,47.0
213,2023-01-01T14:05:00,2023-01-01T15:05:00,DK2,47.0
214,2023-01-01T14:00:00,2023-01-01T15:00:00,DK1,47.0
215,2023-01-01T14:00:00,2023-01-01T15:00:00,DK2,47.0
216,2023-01-01T13:55:00,2023-01-01T14:55:00,DK1,46.0
217,2023-01-01T13:55:00,2023-01-01T14:55:00,DK2,46.0
218,2023-01-01T13:50:00,2023-01-01T14:50:00,DK1,46.0
219,2023-01-01T13:50:00,2023-01-01T14:50:00,DK2,46.0
220,2023-01-01T13:45:00,2023-01-01T14:45:00,DK1,45.0
221,2023-01-01T13:45:00,2023-01-01T14:45:00,DK2,45.0
222,2023-01-01T13:40:00,2023-01-01T14:40:00,DK1,45.0
223,2023-01-01T13:40:00,2023-01-01T14:40:00,DK2,45.0
224,2023-01-01T13:35:00,2023-01-01T14:35:00,DK1,45.0
225,2023-01-01T13:35:00,2023-01-01T14:35:00,DK2,45.0
226,2023-01-01T13:30:00,2023-01-01T14:30:00,DK1,45.0
227,2023-01-01T13:30:00,2023-01-01T14:30:00,DK2,45.0
228,2023-01-01T13:25:00,2023-01-01T14:25:00,DK1,45.0
229,2023-01-01T13:25:00,2023-01-01T14:25:00,DK2,45.0
230,2023-01-01T13:20:00,2023-01-01T14:20:00,DK1,47.0
231,2023-01-01T13:20:00,2023-01-01T14:20:00,DK2,47.0
232,2023-01-01T13:15:00,2023-01-01T14:15:00,DK1,47.0
233,2023-01-01T13:15:00,2023-01-01T14:15:00,DK2,47.0
234,2023-01-01T13:10:00,2023-01-01T14:10:00,DK1,47.0
235,2023-01-01T13:10:00,2023-01-01T14:10:00,DK2,47.0
236,2023-01-01T13:05:00,2023-01-01T14:05:00,DK1,47.0
237,2023-01-01T13:05:00,2023-01-01T14:05:00,DK2,47.0
238,2023-01-01T13:00:00,2023-01-01T14:00:00,DK1,53.0
239,2023-01-01T13:00:00,2023-01-01T14:00:00,DK2,53.0
240,2023-01-01T12:55:00,2023-01-01T13:55:00,DK1,56.0
241,2023-01-01T12:55:00,2023-01-01T13:55:00,DK2,56.0
242,2023-01-01T12:50:00,2023-01-01T13:50:00,DK1,57.0
243,2023-01-01T12:50:00,2023-01-01T13:50:00,DK2,57.0
244,2023-01-01T12:45:00,2023-01-01T13:45:00,DK1,60.0
245,2023-01-01T12:45:00,2023-01-01T13:45:00,DK2,60.0
246,2023-01-01T12:40:00,2023-01-01T13:40:00,DK1,58.0
247,2023-01-01T12:40:00,2023-01-01T13:40:00,DK2,58.0
248,2023-01-01T12:35:00,2023-01-01T13:35:00,DK1,57.0
249,2023-01-01T12:35:00,2023-01-01T13:35:00,DK2,57.0
250,2023-01-01T12:30:00,2023-01-01T13:30:00,DK1,57.0
251,2023-01-01T12:30:00,2023-01-01T13:30:00,DK2,57.0
252,2023-01-01T12:25:00,2023-01-01T13:25:00,DK1,57.0
253,2023-01-01T12:25:00,2023-01-01T13:25:00,DK2,57.0
254,2023-01-01T12:20:00,2023-01-01T13:20:00,DK1,58.0
255,2023-01-01T12:20:00,2023-01-01T13:20:00,DK2,58.0
256,2023-01-01T12:15:00,2023-01-01T13:15:00,DK1,56.0
257,2023-01-01T12:15:00,2023-01-01T13:15:00,DK2,56.0
258,2023-01-01T12:10:00,2023-01-01T13:10:00,DK1,52.0
259,2023-01-01T12:10:00,2023-01-01T13:10:00,DK2,52.0
260,2023-01-01T12:05:00,2023-01-01T13:05:00,DK1,49.0
261,2023-01-01T12:05:00,2023-01-01T13:05:00,DK2,49.0
262,2023-01-01T12:00:00,2023-01-01T13:00:00,DK1,39.0
263,2023-01-01T12:00:00,2023-01-01T13:00:00,DK2,39.0
264,2023-01-01T11:55:00,2023-01-01T12:55:00,DK1,35.0
265,2023-01-01T11:55:00,2023-01-01T12:55:00,DK2,35.0
266,2023-01-01T11:50:00,2023-01-01T12:50:00,DK1,36.0
267,2023-01-01T11:50:00,2023-01-01T12:50:00,DK2,36.0
268,2023-01-01T11:45:00,2023-01-01T12:45:00,DK1,36.0
269,2023-01-01T11:45:00,2023-01-01T12:45:00,DK2,36.0
270,2023-01-01T11:40:00,2023-01-01T12:40:00,DK1,35.0
271,2023-01-01T11:40:00,2023-01-01T12:40:00,DK2,35.0
272,2023-01-01T11:35:00,2023-01-01T12:35:00,DK1,36.0
273,2023-01-01T11:35:00,2023-01-01T12:35:00,DK2,36.0
274,2023-01-01T11:30:00,2023-01-01T12:30:00,DK1,37.0
275,2023-01-01T11:30:00,2023-01-01T12:30:00,DK2,37.0
276,2023-01-01T11:25:00,2023-01-01T12:25:00,DK1,36.0
277,2023-01-01T11:25:00,2023-01-01T12:25:00,DK2,36.0
278,2023-01-01T11:20:00,2023-01-01T12:20:00,DK1,36.0
279,2023-01-01T11:20:00,2023-01-01T12:20:00,DK2,36.0
280,2023-01-01T11:15:00,2023-01-01T12:15:00,DK1,37.0
281,2023-01-01T11:15:00,2023-01-01T12:15:00,DK2,37.0
282,2023-01-01T11:10:00,2023-01-01T12:10:00,DK1,37.0
283,2023-01-01T11:10:00,2023-01-01T12:10:00,DK2,37.0
284,2023-01-01T11:05:00,2023-01-01T12:05:00,DK1,38.0
285,2023-01-01T11:05:00,2023-01-01T12:05:00,DK2,38.0
286,2023-01-01T11:00:00,2023-01-01T12:00:00,DK1,39.0
287,2023-01-01T11:00:00,2023-01-01T12:00:00,DK2,39.0
288,2023-01-01T10:55:00,2023-01-01T11:55:00,DK1,39.0
289,2023-01-01T10:55:00,2023-01-01T11:55:00,DK2,39.0
